text,sentiment,intent
I feel much better after the physiotherapy for my neck pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
I'm glad the surgery is working for my stiffness.,Reassured,Reporting symptoms
I feel much better after the painkillers for my shoulder pain. It's getting better now.,Reassured,Confirming improvement
I'm scared the painkillers won't help my back pain. Do you think it'll get better?,Anxious,Seeking reassurance
I'm glad the physiotherapy is working for my knee pain. Do you think it'll get better?,Reassured,Seeking reassurance
I'm scared the MRI won't help my shoulder pain. It's getting better now.,Anxious,Confirming improvement
What if this trouble sleeping never goes away? It's getting better now.,Anxious,Confirming improvement
I'm really worried about my trouble sleeping. I'm concerned about how it affects my daily life.,Anxious,Expressing concern
What if this neck pain never goes away? I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm scared the massage won't help my knee pain. It's getting better now.,Anxious,Confirming improvement
I'm scared the MRI won't help my neck pain. I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm glad the acupuncture is working for my knee pain. Do you think it'll get better?,Reassured,Seeking reassurance
That's a relief about my neck pain. Do you think it'll get better?,Reassured,Seeking reassurance
What if this neck pain never goes away? It's getting better now.,Anxious,Confirming improvement
What if this nausea never goes away? I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm glad the massage is working for my stiffness.,Reassured,Reporting symptoms
I feel much better after the medication for my headache. Do you think it'll get better?,Reassured,Seeking reassurance
The nausea comes and goes. Do you think it'll get better?,Neutral,Seeking reassurance
What if this fatigue never goes away?,Anxious,Reporting symptoms
I'm scared the massage won't help my dizziness. Do you think it'll get better?,Anxious,Seeking reassurance
That's a relief about my fatigue. It's getting better now.,Reassured,Confirming improvement
My nausea has been bothering me for a week. Do you think it'll get better?,Neutral,Seeking reassurance
The shoulder pain comes and goes. It's getting better now.,Neutral,Confirming improvement
I'm scared the acupuncture won't help my dizziness. Do you think it'll get better?,Anxious,Seeking reassurance
I'm really worried about my nausea.,Anxious,Reporting symptoms
That's a relief about my headache.,Reassured,Reporting symptoms
The dizziness comes and goes. I'm concerned about how it affects my daily life.,Neutral,Expressing concern
I'm glad the painkillers is working for my back pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
My fatigue has been bothering me for a week. It's getting better now.,Neutral,Confirming improvement
I'm glad the physiotherapy is working for my nausea. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
I'm scared the medication won't help my headache. I'm concerned about how it affects my daily life.,Anxious,Expressing concern
What if this shoulder pain never goes away? Do you think it'll get better?,Anxious,Seeking reassurance
I'm glad the medication is working for my headache.,Reassured,Reporting symptoms
What if this fatigue never goes away?,Anxious,Reporting symptoms
I'm scared the exercises won't help my trouble sleeping. Do you think it'll get better?,Anxious,Seeking reassurance
I feel much better after the painkillers for my neck pain. It's getting better now.,Reassured,Confirming improvement
I'm scared the surgery won't help my shoulder pain. It's getting better now.,Anxious,Confirming improvement
I feel much better after the massage for my headache. It's getting better now.,Reassured,Confirming improvement
That's a relief about my shoulder pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
I feel much better after the X-ray for my fatigue. It's getting better now.,Reassured,Confirming improvement
I'm really worried about my stiffness. I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm really worried about my knee pain. Do you think it'll get better?,Anxious,Seeking reassurance
I'm really worried about my neck pain.,Anxious,Reporting symptoms
That's a relief about my fatigue. Do you think it'll get better?,Reassured,Seeking reassurance
I'm glad the exercises is working for my nausea. Do you think it'll get better?,Reassured,Seeking reassurance
I had rest for my knee pain last month. Do you think it'll get better?,Neutral,Seeking reassurance
I'm scared the exercises won't help my dizziness.,Anxious,Reporting symptoms
I had acupuncture for my dizziness last month. It's getting better now.,Neutral,Confirming improvement
I'm scared the painkillers won't help my back pain. It's getting better now.,Anxious,Confirming improvement
I'm really worried about my fatigue. Do you think it'll get better?,Anxious,Seeking reassurance
I'm really worried about my shoulder pain. It's getting better now.,Anxious,Confirming improvement
What if this trouble sleeping never goes away?,Anxious,Reporting symptoms
I'm really worried about my shoulder pain.,Anxious,Reporting symptoms
I had surgery for my stiffness last month. It's getting better now.,Neutral,Confirming improvement
What if this stiffness never goes away? Do you think it'll get better?,Anxious,Seeking reassurance
I had MRI for my back pain last month. It's getting better now.,Neutral,Confirming improvement
I feel much better after the medication for my dizziness. It's getting better now.,Reassured,Confirming improvement
I'm scared the massage won't help my stiffness.,Anxious,Reporting symptoms
I feel much better after the physiotherapy for my shoulder pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
My back pain has been bothering me for a week. Do you think it'll get better?,Neutral,Seeking reassurance
I'm scared the painkillers won't help my shoulder pain.,Anxious,Reporting symptoms
The neck pain comes and goes.,Neutral,Reporting symptoms
I'm glad the rest is working for my stiffness.,Reassured,Reporting symptoms
That's a relief about my neck pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
What if this stiffness never goes away? I'm concerned about how it affects my daily life.,Anxious,Expressing concern
My headache has been bothering me for a week. I'm concerned about how it affects my daily life.,Neutral,Expressing concern
I feel much better after the X-ray for my back pain.,Reassured,Reporting symptoms
I feel much better after the exercises for my shoulder pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
What if this fatigue never goes away? I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm glad the X-ray is working for my headache. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
I'm glad the physiotherapy is working for my shoulder pain. I'm concerned about how it affects my daily life.,Reassured,Expressing concern
My neck pain has been bothering me for a week.,Neutral,Reporting symptoms
The shoulder pain comes and goes. I'm concerned about how it affects my daily life.,Neutral,Expressing concern
I'm scared the acupuncture won't help my stiffness. I'm concerned about how it affects my daily life.,Anxious,Expressing concern
I'm scared the massage won't help my nausea.,Anxious,Reporting symptoms
What if this dizziness never goes away?,Anxious,Reporting symptoms
I'm scared the massage won't help my headache. It's getting better now.,Anxious,Confirming improvement
